,Correct,RT,Response,Mean fixation duration,Mean regressive fixation duration,Equal fixation duration between figures,Equal fixation duration within figure,Mean saccade duration,Mean saccade velocity,Mean pupil diameter,Pupil diameter amplitude,Mean head rotation,Mean head movement,Strategy ratio,Equal?,AngularDisp,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades,Mean distance to figure,Mean angle around figure
Correct,1.0,-0.051,-0.051,-0.002,-0.006,0.023,0.049,0.04,0.066,0.008,0.016,0.022,0.017,-0.056,0.071,-0.031,-0.054,-0.025,-0.04,0.038,-0.021,0.025
RT,-0.051,1.0,-0.113,0.115,0.27,0.157,0.045,0.117,-0.116,0.203,-0.049,0.081,0.133,0.453,-0.163,0.105,0.957,-0.106,0.839,-0.462,-0.026,0.06
Response,-0.051,-0.113,1.0,-0.09,-0.068,-0.059,0.008,0.006,0.047,-0.037,0.039,0.076,0.084,-0.041,0.715,0.025,-0.114,0.027,-0.106,0.065,-0.002,0.028
Mean fixation duration,-0.002,0.115,-0.09,1.0,0.297,-0.057,-0.061,0.134,-0.024,0.013,0.073,-0.149,-0.106,0.042,-0.106,0.066,0.073,-0.163,-0.051,-0.393,-0.026,0.007
Mean regressive fixation duration,-0.006,0.27,-0.068,0.297,1.0,0.216,0.0,0.028,0.023,0.002,0.065,-0.022,0.012,0.134,-0.082,0.128,0.271,0.046,0.233,-0.23,-0.013,0.006
Equal fixation duration between figures,0.023,0.157,-0.059,-0.057,0.216,1.0,0.136,0.031,0.073,0.006,0.016,-0.07,-0.065,0.06,-0.058,-0.001,0.205,0.233,0.156,-0.123,0.033,-0.028
Equal fixation duration within figure,0.049,0.045,0.008,-0.061,0.0,0.136,1.0,-0.01,0.092,-0.145,0.12,0.098,0.106,-0.063,-0.029,-0.086,0.068,0.125,0.084,-0.0,-0.041,0.087
Mean saccade duration,0.04,0.117,0.006,0.134,0.028,0.031,-0.01,1.0,-0.093,0.069,0.04,0.135,0.132,-0.011,-0.001,-0.016,0.072,-0.147,0.006,-0.24,-0.268,0.216
Mean saccade velocity,0.066,-0.116,0.047,-0.024,0.023,0.073,0.092,-0.093,1.0,-0.058,0.035,-0.103,-0.091,-0.142,0.022,0.009,-0.079,0.138,-0.141,-0.034,-0.243,0.291
Mean pupil diameter,0.008,0.203,-0.037,0.013,0.002,0.006,-0.145,0.069,-0.058,1.0,-0.226,-0.039,-0.049,0.156,-0.025,0.029,0.192,-0.079,0.187,-0.13,-0.068,0.027
Pupil diameter amplitude,0.016,-0.049,0.039,0.073,0.065,0.016,0.12,0.04,0.035,-0.226,1.0,0.058,0.07,-0.087,0.009,0.024,-0.053,-0.01,-0.052,0.031,-0.098,0.115
Mean head rotation,0.022,0.081,0.076,-0.149,-0.022,-0.07,0.098,0.135,-0.103,-0.039,0.058,1.0,0.791,0.021,0.071,-0.026,-0.01,-0.269,0.122,0.035,-0.118,0.177
Mean head movement,0.017,0.133,0.084,-0.106,0.012,-0.065,0.106,0.132,-0.091,-0.049,0.07,0.791,1.0,0.011,0.059,0.004,0.041,-0.241,0.152,-0.016,-0.116,0.224
Strategy ratio,-0.056,0.453,-0.041,0.042,0.134,0.06,-0.063,-0.011,-0.142,0.156,-0.087,0.021,0.011,1.0,-0.047,0.008,0.46,0.025,0.291,-0.311,0.028,-0.031
Equal?,0.071,-0.163,0.715,-0.106,-0.082,-0.058,-0.029,-0.001,0.022,-0.025,0.009,0.071,0.059,-0.047,1.0,0.061,-0.165,0.009,-0.152,0.092,-0.003,0.007
AngularDisp,-0.031,0.105,0.025,0.066,0.128,-0.001,-0.086,-0.016,0.009,0.029,0.024,-0.026,0.004,0.008,0.061,1.0,0.095,-0.041,0.122,-0.058,0.001,0.0
Number of Fixations,-0.054,0.957,-0.114,0.073,0.271,0.205,0.068,0.072,-0.079,0.192,-0.053,-0.01,0.041,0.46,-0.165,0.095,1.0,0.124,0.795,-0.451,0.012,0.026
Relative Number of Fixations,-0.025,-0.106,0.027,-0.163,0.046,0.233,0.125,-0.147,0.138,-0.079,-0.01,-0.269,-0.241,0.025,0.009,-0.041,0.124,1.0,-0.121,-0.011,0.096,-0.083
Number of Saccades,-0.04,0.839,-0.106,-0.051,0.233,0.156,0.084,0.006,-0.141,0.187,-0.052,0.122,0.152,0.291,-0.152,0.122,0.795,-0.121,1.0,-0.059,-0.028,0.041
Relative Number of Saccades,0.038,-0.462,0.065,-0.393,-0.23,-0.123,-0.0,-0.24,-0.034,-0.13,0.031,0.035,-0.016,-0.311,0.092,-0.058,-0.451,-0.011,-0.059,1.0,-0.021,-0.006
Mean distance to figure,-0.021,-0.026,-0.002,-0.026,-0.013,0.033,-0.041,-0.268,-0.243,-0.068,-0.098,-0.118,-0.116,0.028,-0.003,0.001,0.012,0.096,-0.028,-0.021,1.0,-0.812
Mean angle around figure,0.025,0.06,0.028,0.007,0.006,-0.028,0.087,0.216,0.291,0.027,0.115,0.177,0.224,-0.031,0.007,0.0,0.026,-0.083,0.041,-0.006,-0.812,1.0
