,ID,RT,first,dimension,condition
0,100,4.490433333333333,2D,2D,first
1,102,5.69206666666667,2D,2D,first
2,103,9.137633333333332,3D,2D,second
3,105,5.868200000000003,3D,2D,second
4,106,14.12013333333334,2D,2D,first
5,107,3.0852999999999984,3D,2D,second
6,108,15.555633333333336,2D,2D,first
7,109,6.8302000000000005,3D,2D,second
8,110,12.280400000000004,2D,2D,first
9,111,4.746633333333335,3D,2D,second
10,112,2.9799333333333333,2D,2D,first
11,158,7.137166666666672,2D,2D,first
12,159,5.561799999999996,3D,2D,second
13,160,15.6628,2D,2D,first
14,161,2.589233333333333,3D,2D,second
15,166,4.193299999999998,2D,2D,first
16,167,4.054600000000001,3D,2D,second
17,168,3.701600000000005,2D,2D,first
18,169,5.260833333333333,3D,2D,second
19,171,8.618366666666667,3D,2D,second
20,172,6.357566666666669,2D,2D,first
21,174,5.367899999999997,2D,2D,first
22,175,2.2680333333333342,2D,2D,first
23,177,3.0807666666666664,3D,2D,second
24,178,9.191266666666666,2D,2D,first
25,180,5.441566666666668,2D,2D,first
26,183,5.070299999999998,3D,2D,second
27,184,7.600500000000001,2D,2D,first
28,186,5.667066666666665,2D,2D,first
29,188,7.165466666666666,2D,2D,first
30,189,1.6440999999999997,3D,2D,second
31,190,13.9818,2D,2D,first
32,191,3.7591333333333328,3D,2D,second
33,192,8.290133333333337,2D,2D,first
34,193,6.733600000000001,3D,2D,second
35,194,5.406466666666661,2D,2D,first
36,196,15.274300000000002,2D,2D,first
37,197,5.397933333333335,3D,2D,second
38,199,6.134933333333334,3D,2D,second
39,201,6.2643,3D,2D,second
40,202,10.726466666666662,2D,2D,first
41,204,6.478099999999999,2D,2D,first
42,206,3.948599999999999,2D,2D,first
43,207,6.865200000000001,3D,2D,second
44,208,7.313466666666669,2D,2D,first
45,209,6.403533333333337,3D,2D,second
46,210,6.754066666666664,2D,2D,first
47,212,4.935300000000002,2D,2D,first
48,213,16.800666666666675,3D,2D,second
49,214,5.693933333333331,2D,2D,first
50,215,5.887500000000001,3D,2D,second
51,216,5.206933333333333,2D,2D,first
52,217,4.902166666666668,3D,2D,second
53,218,10.192066666666673,2D,2D,first
0,100,3.4556,2D,3D,second
1,102,2.9377666666666653,2D,3D,second
2,103,6.075433333333335,3D,3D,first
3,105,4.042533333333332,3D,3D,first
4,106,10.794533333333336,2D,3D,second
5,107,2.5016000000000025,3D,3D,first
6,108,13.29766666666666,2D,3D,second
7,109,4.788466666666665,3D,3D,first
8,110,11.507833333333334,2D,3D,second
9,111,4.8457,3D,3D,first
10,112,2.6092333333333357,2D,3D,second
11,158,5.603000000000003,2D,3D,second
12,159,4.937100000000002,3D,3D,first
13,160,14.256333333333338,2D,3D,second
14,161,2.504666666666664,3D,3D,first
15,166,4.502833333333334,2D,3D,second
16,167,3.405733333333331,3D,3D,first
17,168,3.651200000000004,2D,3D,second
18,169,4.353333333333333,3D,3D,first
19,171,11.897033333333336,3D,3D,first
20,172,5.312833333333334,2D,3D,second
21,174,4.918499999999997,2D,3D,second
22,175,2.589233333333334,2D,3D,second
23,177,3.704,3D,3D,first
24,178,9.364866666666668,2D,3D,second
25,180,6.30476666666667,2D,3D,second
26,183,4.665400000000005,3D,3D,first
27,184,6.910800000000003,2D,3D,second
28,186,4.412566666666668,2D,3D,second
29,188,5.01613333333334,2D,3D,second
30,189,2.4361333333333333,3D,3D,first
31,190,9.06673333333333,2D,3D,second
32,191,4.717933333333336,3D,3D,first
33,192,9.915200000000006,2D,3D,second
34,193,7.44626666666667,3D,3D,first
35,194,5.364999999999994,2D,3D,second
36,196,9.885766666666669,2D,3D,second
37,197,4.360366666666672,3D,3D,first
38,199,6.386433333333334,3D,3D,first
39,201,5.068266666666665,3D,3D,first
40,202,8.532266666666667,2D,3D,second
41,204,5.826733333333332,2D,3D,second
42,206,3.717933333333329,2D,3D,second
43,207,7.639899999999997,3D,3D,first
44,208,7.385499999999999,2D,3D,second
45,209,7.198966666666664,3D,3D,first
46,210,5.59563333333333,2D,3D,second
47,212,4.1238,2D,3D,second
48,213,18.853766666666665,3D,3D,first
49,214,4.9664666666666655,2D,3D,second
50,215,5.186400000000004,3D,3D,first
51,216,4.955233333333331,2D,3D,second
52,217,4.821500000000001,3D,3D,first
53,218,7.523566666666668,2D,3D,second
