"","Variable","mean","sd","median","mad","min","max","skew","kurtosis","se"
"X1","Correct 2D",0.832,0.105,0.857,0.106,0.5,1,-0.962,0.718,0.014
"X11","Correct 3D",0.882,0.101,0.893,0.106,0.607,1,-1.011,0.322,0.014
"X12","RT 2D",6.861,3.583,5.834,1.968,1.64,16.825,1.23,0.8,0.488
"X111","RT 3D",6.076,3.214,4.938,2.03,2.359,18.539,1.613,2.958,0.437
"X13","Mean fixation duration 2D",0.218,0.025,0.215,0.026,0.166,0.27,0.167,-0.908,0.003
"X112","Mean fixation duration 3D",0.216,0.028,0.214,0.024,0.174,0.311,1.05,1.473,0.004
"X14","Mean fixation rate 2D",2.016,0.466,1.992,0.485,1.309,3.28,0.567,-0.22,0.063
"X113","Mean fixation rate 3D",2.151,0.451,2.132,0.481,1.359,3.169,0.248,-0.712,0.061
"X15","Mean regressive fixation duration 2D",0.142,0.051,0.139,0.054,0.042,0.249,0.069,-0.71,0.007
"X114","Mean regressive fixation duration 3D",0.177,0.042,0.179,0.047,0.105,0.284,0.293,-0.535,0.006
"X16","Equal fixation duration between figure 2D",0.695,0.086,0.695,0.094,0.447,0.866,-0.5,0.214,0.012
"X115","Equal fixation duration between figure 3D",0.721,0.079,0.73,0.082,0.437,0.857,-0.849,1.228,0.011
"X17","Equal fixation duration within figures 2D",0.187,0.065,0.187,0.055,0.02,0.34,-0.199,0.394,0.009
"X116","Equal fixation duration within figures 3D",0.449,0.084,0.465,0.086,0.237,0.632,-0.328,-0.105,0.011
"X18","Strategy ratio 2D",1.488,0.948,1.321,0.841,0.223,4.357,0.88,0.204,0.129
"X117","Strategy ratio 3D",0.77,0.292,0.722,0.304,0.364,1.585,0.869,0.221,0.04
"X19","Mean saccade velocity 2D",239.186,20.838,235.711,17.464,198.821,295.22,0.598,0.109,2.836
"X118","Mean saccade velocity 3D",250.476,22.439,249.632,20.971,203.633,315.919,0.415,0.275,3.054
"X110","Mean saccades rate 2D",2.016,0.466,1.992,0.485,1.309,3.28,0.567,-0.22,0.063
"X119","Mean saccades rate 3D",2.151,0.451,2.132,0.481,1.359,3.169,0.248,-0.712,0.061
"X120","Mean pupil diameter 2D",0.039,0.095,0.038,0.077,-0.201,0.236,-0.568,0.479,0.013
"X1110","Mean pupil diameter 3D",-0.096,0.123,-0.104,0.125,-0.38,0.206,-0.024,-0.182,0.017
"X121","Peak pupil diameter 2D",0.314,0.101,0.298,0.084,0.109,0.711,1.143,2.679,0.014
"X1111","Peak pupil diameter 3D",0.416,0.104,0.399,0.071,0.213,0.643,0.422,-0.323,0.014
"X122","Mean head rotation 2D",1.671,0.799,1.468,0.629,0.779,4.065,1.418,1.518,0.109
"X1112","Mean head rotation 3D",2.545,1.48,2.307,1.337,0.722,7.029,1.187,0.941,0.201
"X123","Mean head movement 2D",0.52,0.189,0.468,0.157,0.271,1.063,1.369,1.497,0.026
"X1113","Mean head movement 3D",1.177,1.079,0.855,0.451,0.289,5.222,2.115,3.956,0.147
"X124","Mean distance to figure 2D",88.599,8.584,87.718,6.232,68.196,111.169,0.779,0.953,1.168
"X1114","Mean distance to figure 3D",86.567,10.21,84.507,6.835,65.588,127.626,1.458,3.865,1.389
