Column1;name;t_ref;t_com;number;ReferenceObj;ComparedObj;DiffType;Equal?;AngularDisp;x_rot_r;y_rot_r;z_rot_r;x_rot_c;y_rot_c;z_rot_c
1;E01_T01_V01_T01_160_e.jpg;T01;T01;1;E01_T01;V01_T01;e;1;160;-6;18;14;-6;18;174
5;E01_T01_V01_T02_40_m.jpg;T01;T02;1;E01_T01;V01_T02;m;0;40;-6;18;14;-6;18;54
9;E02_T02_V02_T01_160_m.jpg;T02;T01;2;E02_T02;V02_T01;m;0;160;-4;-30;-30;-4;-30;130
14;E02_T02_V02_T02_80_e.jpg;T02;T02;2;E02_T02;V02_T02;e;1;80;-4;-30;-30;-4;-30;50
18;E03_T01_V03_T01_120_e.jpg;T01;T01;3;E03_T01;V03_T01;e;1;120;-3;-20;-168;-3;-20;-48
19;E03_T01_V03_T01_160_e.jpg;T01;T01;3;E03_T01;V03_T01;e;1;160;-3;-20;-168;-3;-20;-8
27;E04_T02_V04_T01_120_m.jpg;T02;T01;4;E04_T02;V04_T01;m;0;120;-20;0;-135;-20;0;-15
34;E04_T02_V04_T02_80_e.jpg;T02;T02;4;E04_T02;V04_T02;e;1;80;-20;0;-135;-20;0;-55
48;E05_T03_V05_T04_80_m.jpg;T03;T04;5;E05_T03;V05_T04;m;0;80;1;-30;-15;1;-30;65
49;E06_T04_V06_T01_120_s.jpg;T04;T01;6;E06_T04;V06_T01;s;0;120;20;17;20;20;17;140
57;E06_T04_V06_T04_120_e.jpg;T04;T04;6;E06_T04;V06_T04;e;1;120;20;17;20;20;17;140
65;E07_T03_V07_T03_160_e.jpg;T03;T03;7;E07_T03;V07_T03;e;1;160;3;-7;168;3;-7;328
74;E08_T04_V08_T03_120_m.jpg;T04;T03;8;E08_T04;V08_T03;m;0;120;8;-7;110;8;-7;230
82;E09_T05_V09_T05_40_e.jpg;T05;T05;9;E09_T05;V09_T05;e;1;40;4;25;8;4;25;48
94;E10_T06_V10_T06_160_e.jpg;T06;T06;10;E10_T06;V10_T06;e;1;160;-12;-6;12;-12;-6;172
101;E11_T09_V11_T05_40_s.jpg;T09;T05;11;E11_T09;V11_T05;s;0;40;-13;-10;-20;-13;-10;20
103;E11_T09_V11_T09_120_e.jpg;T09;T09;11;E11_T09;V11_T09;e;1;120;-13;-10;-20;-13;-10;100
117;E12_T01_V12_T02_40_m.jpg;T01;T02;12;E12_T01;V12_T02;m;0;40;5;16;-23;5;16;17
125;E13_T05_V13_T06_40_m.jpg;T05;T06;13;E13_T05;V13_T06;m;0;40;-1;5;-160;-1;5;-120
132;E14_T06_V14_T06_40_e.jpg;T06;T06;14;E14_T06;V14_T06;e;1;40;-8;-3;55;-8;-3;95
138;E15_T07_V15_T06_160_s.jpg;T07;T06;15;E15_T07;V15_T06;s;0;160;0;42;-18;0;42;142
148;E16_T08_V16_T05_40_s.jpg;T08;T05;16;E16_T08;V16_T05;s;0;40;0;45;-150;0;45;-110
150;E16_T08_V16_T07_160_m.jpg;T08;T07;16;E16_T08;V16_T07;m;0;160;0;45;-150;0;45;10
157;E17_T07_V17_T06_120_s.jpg;T07;T06;17;E17_T07;V17_T06;s;0;120;5;20;-110;5;20;10
172;E18_T08_V18_T07_80_m.jpg;T08;T07;18;E18_T08;V18_T07;m;0;80;0;20;-55;0;20;25
177;E19_T10_V19_T06_160_s.jpg;T10;T06;19;E19_T10;V19_T06;s;0;160;10;20;-40;10;20;120
191;E20_T09_V20_T09_40_e.jpg;T09;T09;20;E20_T09;V20_T09;e;1;40;-10;10;-165;-10;10;-125
203;E21_T10_V21_T10_80_e.jpg;T10;T10;21;E21_T10;V21_T10;e;1;80;-15;-15;150;-15;-15;230
204;E22_T09_V22_T05_120_s.jpg;T09;T05;22;E22_T09;V22_T05;s;0;120;10;2;105;10;2;225
209;E22_T09_V22_T09_40_e.jpg;T09;T09;22;E22_T09;V22_T09;e;1;40;10;2;105;10;2;145
