ID,dimension,pearson_corr
100,2,0.7442859321287613
100,3,0.45841661740536993
102,2,0.6936043644106183
102,3,0.26151151617546814
103,2,0.6545863426356654
103,3,0.4643029453636907
105,2,0.8368933656492481
105,3,0.6874912828563366
106,2,0.620400862292579
106,3,0.5867558717811968
107,2,0.4120734537201452
107,3,0.6883029515009221
108,2,0.7607355423537409
108,3,0.9215196862961754
109,2,0.9066630033601135
109,3,0.7312707118955692
110,2,0.74031584392633
110,3,0.4435195799662168
111,2,0.5696941426899514
111,3,0.538388492607896
112,2,0.5147961278741412
112,3,0.4676911512392962
158,2,0.8282063539019601
158,3,0.727217921559287
159,2,0.7544971070183096
159,3,0.5740566381170796
160,2,0.7307619963052483
160,3,0.5658918410000475
161,2,0.9503832642514767
161,3,0.8319598480832687
166,2,0.5766588224340701
166,3,0.5075048368560999
167,2,0.8237195584139267
167,3,0.4239429680837418
168,2,0.6702986021417847
168,3,0.5109798850516696
169,2,0.5867947939466773
169,3,0.5815036255867313
171,2,0.464900449046285
171,3,0.8191165367576341
172,2,0.8379305646698967
172,3,0.6493043566326866
174,2,0.7525980188081605
174,3,0.7296597809113826
175,2,0.783629202344211
175,3,0.6375175504369626
177,2,0.6311696099465839
177,3,0.6848439580518887
178,2,0.6574446156464602
178,3,0.700574142008703
180,2,0.7663163087305777
180,3,0.7760897820751947
183,2,0.4962303784023247
183,3,0.461090608237448
184,2,0.8113739119447215
184,3,0.8167548062404044
186,2,0.656498933754712
186,3,0.6937926565329171
188,2,0.7461408073782155
188,3,0.8180260018463261
189,2,0.2192117618317705
189,3,0.6072556010193506
190,2,0.6993486825317146
190,3,0.7395082039251079
191,2,0.7227610112850591
191,3,0.6809846294534122
192,2,0.571274465061938
192,3,0.5130971156115632
193,2,0.5306868250248326
193,3,0.27901892702986286
194,2,0.7010957494580775
194,3,0.6195386826190528
196,2,0.74434846475943
196,3,0.6290845218952102
197,2,0.8571202728703985
197,3,0.7885617590847196
199,2,0.5189901304885435
199,3,0.780424302043376
201,2,0.8831554334095084
201,3,0.427962280781012
202,2,0.6364236058707868
202,3,0.8691005657662985
204,2,0.7646816529097779
204,3,0.7759903318374404
206,2,0.689071949671692
206,3,0.822115111764417
207,2,0.8039822829269127
207,3,0.7459684708924975
208,2,0.48582166105316005
208,3,0.7663495122537523
209,2,0.8344877980119298
209,3,0.7454323712323889
210,2,0.4627726786537397
210,3,0.4542033359383427
212,2,0.6079021217968166
212,3,0.7486855658986498
213,2,0.7957652106875
213,3,0.7368238963597685
214,2,0.6224375691981109
214,3,0.4353505198147015
215,2,0.2500137361848614
215,3,0.8261914703161244
216,2,0.8017596577492911
216,3,0.664589721885943
217,2,0.5686130106128996
217,3,0.3957819526130504
218,2,0.6050546462174228
218,3,0.6771240791045693
